Algorithm,Metric,DropTail,RED,Improvement (B vs A)
reno,Goodput (Mb/s),0.111840,0.091840,-0.020000
reno,PLR (%),0.822846,0.644330,0.178516
reno,Jain,0.843776,0.901014,0.057237
reno,CoV,1.530717,1.582785,-0.052068
cubic,Goodput (Mb/s),0.257040,0.190400,-0.066640
cubic,PLR (%),2.255400,2.115469,0.139931
cubic,Jain,0.574597,0.604978,0.030381
cubic,CoV,1.602594,1.556773,0.045821
yeah,Goodput (Mb/s),0.160640,0.160640,0.000000
yeah,PLR (%),0.375235,0.375235,0.000000
yeah,Jain,0.773577,0.773577,0.000000
yeah,CoV,1.551604,1.551604,0.000000
vegas,Goodput (Mb/s),0.046000,0.089200,0.043200
vegas,PLR (%),0.667939,0.047259,0.620680
vegas,Jain,0.567797,0.534933,-0.032864
vegas,CoV,1.505162,1.382482,0.122680
